Action,Area,Status,Priority,Person Responsible,Start Date,End Date,Result,Remarks
Brand CSS tokens (colors / fonts / motion),Design,Done,P1,Web Dev,,,Live in css/style.css,"Black / white / #E6062F; Archivo Black + Barlow Condensed + Inter; pause / smile / wink easings"
Animated logo SVG with intro overlay,Design,Done,P1,Web Dev,,,Live,Five animatable parts; plays once per session
Image-dominant hero layout,Design,Done,P1,Web Dev,,,Live,Fixes Chaadi's half-image feedback
Page header + block layout components,Design,Done,P1,Web Dev,,,Live,Shared across 43 pages
Mobile nav with hamburger,Design,Done,P2,Web Dev,,,Live,iOS bleed fix shipped in commit 1f13085
Scroll reveal motion language,Design,Done,P2,Web Dev,,,Live,Honours prefers-reduced-motion
Accessibility focus styles,Design,Done,P2,Web Dev,,,Live,Keyboard focus-visible outline in brand red
iOS 100vh / 100svh fix on hero,Engineering,Done,P1,Web Dev,,,Live,Progressive enhancement
Full responsive audit (phone / tablet / desktop),Design,Done,P1,Web Dev,,,Live,Breakpoints at 400 / 600 / 860 px
Optimise 49 hero images (WebP + JPG),Engineering,Done,P1,Web Dev,,,Live,852 MB → 24.5 MB
Python page generator,Engineering,Done,P1,Web Dev,,,Live,Single source for all 43 pages
Interactive world map with pin tooltips,Engineering,Done,P1,Web Dev,,,Live,6 hubs + 2 studios
Branded 404 page,Engineering,Done,P2,Web Dev,,,Live,
Favicon SVG,Engineering,Done,P2,Web Dev,,,Live,
Skip-to-content link,Engineering,Done,P2,Web Dev,,,Live,
Reveal-flash bug fix,Engineering,Done,P1,Web Dev,,,Live,html.js-ready gating
Fetchpriority on above-fold images,Engineering,Done,P2,Web Dev,,,Live,
Lazy loading on below-fold images,Engineering,Done,P2,Web Dev,,,Live,
Local crawl script (43 pages / 131 refs),Engineering,Done,P3,Web Dev,,,Live,0 broken links
OpenGraph + Twitter meta per page,SEO,Done,P2,Web Dev,,,Live,
Proper homepage title with positioning,SEO,Done,P2,Web Dev,,,Live,
Theme-color meta tag,SEO,Done,P3,Web Dev,,,Live,
Security headers (CSP / HSTS / XFO / Referrer-Policy),Security,Done,P2,Web Dev,,,Live,via vercel.json
Permissions-Policy (camera / mic / geo / FLoC),Security,Done,P3,Web Dev,,,Live,via vercel.json
Cache-bust ?v= on CSS / JS,Engineering,Done,P2,Web Dev,,,Live,Auto-stamped on every build
Alt text on all images,Accessibility,Done,P2,Web Dev,,,Live,
Differentiated stub copy per page,Content,Done,P2,Web Dev,,,Live,Footer no longer reads as copy-paste
Site map page with full link index,Content,Done,P3,Web Dev,,,Live,
Partner brief doc (PARTNER-BRIEF.md),Content,Done,P2,Web Dev,,,Live in docs/,
Tracker CSV (this file),Content,Done,P2,Web Dev,,,Live in docs/,
"Brand guideline — final approval (gate for everything)",Brand,Needed,P1,Management,,,,Chaadi: this is step 1
Move all approved brand files to a shared Google Drive (employee-only),Brand,Needed,P1,Management,,,,Chaadi recommendation
Vercel project — transfer ownership to Hello Media,Ops,Needed,P1,Management,,,,Currently under personal account; move to Hello Media org
Disable Vercel Deploy Protection,Ops,Needed,P1,Tech,,,,Blocks public preview review
Final domain choice,Ops,Needed,P1,Management,,,,"Chaadi vote: hellomedia.site (.com / .net taken; .ae alone reads too local)"
DNS cutover to Vercel once domain is final,Ops,Needed,P1,Tech,,,,
Form backend choice,Ops,Needed,P1,Tech,,,,Tech recommends — Formspree / Resend / Vercel Forms / SMTP
Analytics provider choice,Ops,Needed,P2,Tech,,,,GA4 / Plausible / Vercel Analytics
Monitoring / uptime setup,Ops,Needed,P3,Tech,,,,
Code review / PR workflow agreement,Ops,Needed,P3,Tech,,,,Chaadi asked what PR means — see reply for plain-language explanation
Clean SVG of logomark (no wordmark),Design,Needed,P1,Graphics,,,,From the AI source files
Clean SVG of wordmark (HELLO MEDIA),Design,Needed,P1,Graphics,,,,From the AI source files
Clean SVG of brand symbols (Smile / Pixel / Wink / Pause / H),Design,Needed,P2,Graphics,,,,
Font comparison sheet — paid vs free side by side,Design,Needed,P2,Graphics,,,,Include English + Arabic + price for paid versions
Brand red hex + Pantone confirmation,Design,Needed,P3,Graphics,,,,Currently #E6062F — confirms with brand-guideline approval
Image cropping + 'idea-preserving' rework guidance,Design,Needed,P1,Graphics,,,,Chaadi: not just crop; preserve the idea — use nano-banana when needed
Hero variant: edge-to-edge image (no white frame) for sign-off,Design,Done,P1,Web Dev,,2026-04-22,Live as ?hero=edge A/B on index; docs/HERO-VARIANTS.md,Awaiting Chaadi sign-off on default choice
Page-by-page sign-off (clean / brand / fonts / spacing),Design,Needed,P1,Chaadi + Management,,,,Sit-down review meeting
Slogan readability fix (red text size + clarity on hero),Design,Done,P2,Web Dev + Graphics,,2026-04-22,"Bumped eyebrow weight/size, tightened letter-spacing, added text-shadow; mobile bump at <=600px",Ready for Chaadi visual check
Add social media icons in hero / nav,Design,Done,P2,Web Dev,,2026-04-22,Inline-SVG icon row added in footer above the legal bar,Links are placeholder # until Marketing provides handles
Mock award images (Manag. with awards / events) for Awards page,Design,Needed,P2,Graphics,,,,Look like generic media / marketing awards
Brochure design (PDF + web version),Design,Needed,P2,Graphics,,,,Chaadi asked — was missing from tracker
Office address — UAE (HQ),Content,Needed,P1,Management,,,,
Office addresses — UK / USA / Brazil / China / Egypt (luxury locations — mock OK for now),Content,Needed,P2,Web Dev + Management,,,,Use Sheikh Zayed Rd-equivalent in each city; placeholder OK
Studio addresses — India / Pakistan,Content,Needed,P2,Management,,,,
Phone numbers per country (real or mock),Content,Needed,P2,Management,,,,
Contact email destination,Ops,Needed,P1,Management,,,,For form + footer
"Client list — 30+ names from Management for Graphics to source logos",Content,Needed,P1,Management,,,,Chaadi: graphics will source / decide which we can use
Client logos — sourcing + selection workflow,Content,Needed,P1,Graphics,,,,After Management provides names
Approach for big-name client adds (low-cost),Content,Needed,P2,Management,,,,Chaadi suggested
Case study 1 — full structure (Problem / Analysis / Solution / Result + photos / videos),Content,Needed,P1,Management + Graphics,,,,Chaadi: most important part
Case study 2 — full structure,Content,Needed,P1,Management + Graphics,,,,
Case study 3 — full structure,Content,Needed,P1,Management + Graphics,,,,
Case study layout / template build,Engineering,Done,P1,Web Dev,,2026-04-22,"Template + /what-we-did/sample/ placeholder live; Problem/Analysis/Solution/Result shape",Hub lists cards once >1 study exists
Team member: Mohammad Chadi Itani (LinkedIn provided),Content,Done,P1,Chaadi,,,Bio + photo TBC,https://www.linkedin.com/in/mohammadchadiitani/
Team bios + photos — request LinkedIn URL from each member,Content,Needed,P1,Each team member,,,,Each person sends their own LinkedIn
Awards list (titles / years / categories),Content,Needed,P2,Management,,,,Real awards if any; otherwise mock
FAQ — 8 to 12 Q&A pairs,Content,Needed,P3,Management,,,,Chaadi: deferred — will add later via CMS
Small-jobs offering — frame as one of our services,Content,Needed,P2,Management,,,,Chaadi: don't make agency look too big; show we do all sizes
Hero subline sign-off,Content,Needed,P1,Management,,,,Three alternatives proposed in partner brief
Nav decision — hide Whom-we-love / What-we-did until proof?,Content,Needed,P1,Management,,,,
Final copywrite read-through,Content,Needed,P2,Chaadi,,,,Chaadi will do one final read once content is in
Social account: Facebook,Marketing,Needed,P2,Marketing,,,,Use a single consistent name across all
Social account: Instagram,Marketing,Needed,P2,Marketing,,,,
Social account: Snapchat,Marketing,Needed,P2,Marketing,,,,
Social account: X (Twitter),Marketing,Needed,P2,Marketing,,,,
Social account: TikTok,Marketing,Needed,P2,Marketing,,,,
Social account: YouTube,Marketing,Needed,P2,Marketing,,,,
Social account: Pinterest,Marketing,Needed,P3,Marketing,,,,
Social account: Flickr,Marketing,Needed,P3,Marketing,,,,
Social account: LinkedIn — company page,Marketing,Needed,P1,Marketing,,,,
Social account: LinkedIn — individual pages collected,Marketing,Needed,P2,Each team member,,,,Chaadi started: his URL provided
Source privacy policy text from a media / marketing reference,Legal,Needed,P1,Management,,,,Chaadi suggestion: take + AI-modify for UAE laws
Source T&C text from same reference,Legal,Needed,P1,Management,,,,
Cookie statement text (link only — no popup),Legal,Needed,P2,Legal,,,,Chaadi: no GDPR popup — just a footer link
Add 'no claim / sue' clause to T&C,Legal,Needed,P2,Legal,,,,Chaadi: entering site = agreement
Copyright statement,Legal,Needed,P2,Legal,,,,
Cookie consent banner — confirmed NOT NEEDED,Legal,Done,P2,Legal,,,Confirmed by Chaadi,No popup; link in T&C is enough
Contact form on /where-we-are/,Engineering,To Do,P1,Web Dev,,,Form backend choice needed first,
sitemap.xml,SEO,Done,P2,Web Dev,,2026-04-22,Auto-generated by build_pages.py — 50 URLs; placeholder canonical https://hellomedia.site/,Swap canonical when Management confirms domain
robots.txt,SEO,Done,P2,Web Dev,,2026-04-22,Allow all; disallows /motion-preview/ (private QA); references sitemap,
Schema.org JSON-LD (Organization + LocalBusiness),SEO,To Do,P2,Web Dev,,,Addresses + domain needed,
manifest.webmanifest + PNG icons (180 / 192 / 512),Engineering,Done,P3,Web Dev,,2026-04-22,PNGs generated via cairosvg; manifest + apple-touch-icon wired into every page shell,
Swap in licensed brand fonts,Design,To Do,P2,Web Dev,,,Font files needed,
Replace stand-in logo with pixel-perfect vector,Design,To Do,P2,Web Dev,,,Clean SVG export needed,
Populate client logos on Whom we love,Content,To Do,P1,Web Dev,,,Logos needed,
Wire real addresses into map tooltips,Engineering,To Do,P1,Web Dev,,,Addresses needed,
Country pages (UAE / UK / USA / Brazil / China / Egypt),Engineering,Done,P2,Web Dev,,2026-04-22,"6 pages scaffolded at /where-we-are/<country>/; indicative address + placeholder phone; map pins link via ""Visit →""",UAE awaits real content from Management
Legal page: populate Privacy,Legal,To Do,P1,Web Dev,,,Text needed,
Legal page: populate Terms,Legal,To Do,P1,Web Dev,,,Text needed,
Legal page: populate Cookies,Legal,To Do,P2,Web Dev,,,Text needed,
Legal page: populate Copyright,Legal,To Do,P2,Web Dev,,,Text needed,
FAQ — populate Q&A,Content,To Do,P3,Web Dev,,,Q&A needed,Chaadi: deferred via CMS
Team page — build layout + populate,Content,To Do,P1,Web Dev,,,Photos + bios needed,
Awards page — populate,Content,To Do,P2,Web Dev,,,Awards list + mock images needed,
Social media icons in footer,Content,Done,P2,Web Dev,,2026-04-22,9-icon row (FB/IG/Snap/X/TikTok/YT/Pinterest/Flickr/LinkedIn) above footer bottom,Handles still # — swap when Marketing provides active URLs
Longer-form copy: E-Marketing service page,Content,To Do,P3,Web Dev,,,,
Longer-form copy: Web Solutions service page,Content,To Do,P3,Web Dev,,,,
Longer-form copy: Mobile App Dev service page,Content,To Do,P3,Web Dev,,,,
Longer-form copy: AI service page,Content,To Do,P3,Web Dev,,,,
Longer-form copy: SEO service page,Content,To Do,P3,Web Dev,,,,
Longer-form copy: Web App service page,Content,To Do,P3,Web Dev,,,,
Longer-form copy: Domain & Hosting service page,Content,To Do,P3,Web Dev,,,,
Longer-form copy: Branding service page,Content,To Do,P3,Web Dev,,,,
Longer-form copy: Creative & Printing service page,Content,To Do,P3,Web Dev,,,,
Longer-form copy: Video Production service page,Content,To Do,P3,Web Dev,,,,
Longer-form copy: Audio Production service page,Content,To Do,P3,Web Dev,,,,
Longer-form copy: Copywriting service page,Content,To Do,P3,Web Dev,,,,
Longer-form copy: PR service page,Content,To Do,P3,Web Dev,,,,
Longer-form copy: Photography & Media Buy page,Content,To Do,P3,Web Dev,,,,
Longer-form copy: Packaging service page,Content,To Do,P3,Web Dev,,,,
Longer-form copy: Crisis Management service page,Content,To Do,P3,Web Dev,,,,
CMS choice (decision needed before Phase 2),Engineering,To Do,P1,Tech + Management,,,,Chaadi mentioned 'CMS' multiple times — currently site is static; needs decision
Arabic version / hreflang,Engineering,To Do,P3,Web Dev,,,Go / no-go from Management,Defer unless launch requires
Motion language audit + private preview page,Engineering,Done,P2,Web Dev,,2026-04-22,"/motion-preview/ live (noindex, nofollow); showcases Pause / Smile / Wink / Pixel / Reveal + intro replay",Ask Chaadi to review and confirm prefers-reduced-motion isn't on at his end
Image focal-point metadata system,Engineering,Done,P3,Web Dev,,2026-04-22,FOCAL_POINTS dict in scripts/build_pages.py emits inline object-position per image; defaults to center,Graphics can override per-image without touching CSS
Cookie link + 'you agree' clause in terms stub,Legal,Done,P2,Web Dev,,2026-04-22,"Terms stub now carries a ""by using this site you agree"" clause; footer ""Cookies"" link renamed ""Cookie statement""",Still awaiting full Legal sign-off on policy text
Case study placeholder seed (/what-we-did/sample/),Content,Done,P2,Web Dev,,2026-04-22,Template-fill placeholder so Chaadi can review the layout before real case study lands,Swap when Case study 1 content arrives
